ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method
1,1164,338,12,0.977,22,656,1,Full
2,708,62,12,0.956,22,656,1,Full
3,1164,276,19,0.947,22,656,1,Full
4,1107,338,12,0.947,22,656,1,Full
5,1006,489,18,0.945,22,656,1,Full
6,1107,276,11,0.942,22,656,1,Full
7,647,60,11,0.939,22,656,1,Full
8,767,62,11,0.928,22,656,1,Full
9,947,63,12,0.919,22,656,1,Full
10,408,61,12,0.915,22,656,1,Full
11,587,61,11,0.901,22,656,1,Full
12,1308,64,12,0.899,22,656,1,Full
13,1443,502,42,0.889,22,656,1,Full
14,1107,217,11,0.867,22,656,1,Full
15,1188,64,12,0.867,22,656,1,Full
16,828,61,19,0.867,22,656,1,Full
17,1444,49,42,0.858,22,656,1,Full
18,946,489,12,0.854,22,656,1,Full
19,210,498,42,0.851,22,656,1,Full
20,1131,65,15,0.849,22,656,1,Full
21,884,64,15,0.814,22,656,1,Full
22,1071,65,15,0.809,22,656,1,Full
1,1164,276,19,0.995,50,656,1,Full
2,1107,275,11,0.986,50,656,1,Full
3,587,60,11,0.983,50,656,1,Full
4,767,61,11,0.980,50,656,1,Full
5,1164,338,12,0.977,50,656,1,Full
6,1107,338,12,0.974,50,656,1,Full
7,1107,216,11,0.970,50,656,1,Full
8,708,62,12,0.970,50,656,1,Full
9,947,63,11,0.963,50,656,1,Full
10,647,60,11,0.962,50,656,1,Full
11,1308,64,12,0.960,50,656,1,Full
12,1006,489,18,0.959,50,656,1,Full
13,1188,63,12,0.948,50,656,1,Full
14,408,61,12,0.947,50,656,1,Full
15,1444,49,42,0.945,50,656,1,Full
16,828,61,19,0.938,50,656,1,Full
17,1443,502,42,0.938,50,656,1,Full
18,946,489,11,0.931,50,656,1,Full
19,1131,66,15,0.930,50,656,1,Full
20,1071,65,15,0.921,50,656,1,Full
21,884,64,14,0.919,50,656,1,Full
22,210,498,42,0.915,50,656,1,Full
23,1165,217,11,0.799,50,656,1,Full
24,525,487,18,0.799,50,656,1,Full
25,822,487,15,0.782,50,656,1,Full
26,891,489,15,0.771,50,656,1,Full
27,210,44,42,0.765,50,656,1,Full
28,1457,240,16,0.755,50,656,1,Full
29,767,487,12,0.750,50,656,1,Full
30,646,486,19,0.748,50,656,1,Full
31,705,487,18,0.745,50,656,1,Full
32,1249,64,12,0.742,50,656,1,Full
33,254,222,11,0.741,50,656,1,Full
34,527,60,11,0.736,50,656,1,Full
35,1457,182,15,0.730,50,656,1,Full
36,345,484,12,0.729,50,656,1,Full
37,252,321,10,0.724,50,656,1,Full
38,586,487,18,0.715,50,656,1,Full
39,1458,304,15,0.709,50,656,1,Full
40,1460,359,12,0.698,50,656,1,Full
41,1003,64,15,0.695,50,656,1,Full
42,401,485,15,0.689,50,656,1,Full
43,350,59,13,0.689,50,656,1,Full
44,1130,491,15,0.688,50,656,1,Full
45,1066,488,19,0.674,50,656,1,Full
46,1247,488,19,0.669,50,656,1,Full
47,1307,488,19,0.668,50,656,1,Full
48,465,486,12,0.663,50,656,1,Full
49,1183,491,15,0.623,50,656,1,Full
50,467,61,12,0.622,50,656,1,Full
